wiring,config,psnr,ssim
W6c96e444,C764f81ac,47.7599,0.991949
W6c96e444,C30494fc3,36.9689,0.930881
W6c96e444,C72ca4868,35.2841,0.897078
W6c96e444,C81e4a28a,37.7916,0.95456
W6c96e444,C5e343dd4,36.0716,0.926963
W6c96e444,C899dabdf,31.9886,0.941026
W6c96e444,Cab4d99ed,48.6428,0.994708
W6c96e444,C2136461a,46.5876,0.991263
W6c96e444,Cbf161e1c,48.5983,0.994234
W6c96e444,Cbd470939,35.536,0.937387
W6c96e444,C391f66a1,43.5472,0.98461
W6c96e444,Cca85408f,42.2884,0.985655
W6c96e444,Cf22c39c6,44.2408,0.986548
W6c96e444,C0c7b8260,51.0752,0.99617
W6c96e444,C116c508f,48.5277,0.993142
W6c96e444,C3b6c7563,37.7834,0.939543
W6c96e444,C9b02a976,43.5955,0.978283
W6c96e444,C0a8781b2,34.1082,0.973403
W6c96e444,C29044c98,48.9289,0.993253
W6c96e444,C3f5bdef0,41.9404,0.976601
W6c96e444,C80728ccf,42.4231,0.984672
W6c96e444,C36905ebd,46.3894,0.989235
W6c96e444,Cec99169b,35.402,0.948352
W6c96e444,C0e7931a4,45.7293,0.985077
W6c96e444,Cecd9ef91,38.2242,0.953281
W6c96e444,C765e06c9,32.2856,0.945844
W6c96e444,C0c88d61b,52.3547,0.996416
W6c96e444,Ca75f2ce0,45.1757,0.986242
W6c96e444,Cbfee114d,35.59,0.922401
W6c96e444,C2af0a238,42.2102,0.977578
W6c96e444,C29826ff4,36.4845,0.945092
W6c96e444,Cf2ef325c,36.9964,0.969076
W6c96e444,C89182b8f,41.1718,0.976944
W6c96e444,C152413b9,38.8285,0.960843
W6c96e444,C5f51712b,37.2914,0.981638
W6c96e444,C193747ee,40.574,0.988983
W6c96e444,Cb35b4eeb,35.9123,0.972458
W6c96e444,C9b97e071,45.3214,0.992301
W6c96e444,C4e5ab19a,37.65,0.961593
W6c96e444,C59e71ce7,49.0338,0.993647
W6c96e444,Cb64793cc,32.167,0.94897
W6c96e444,C63cca0f3,35.7348,0.98617
W6c96e444,C8d46c3d6,40.7369,0.972499
W6c96e444,Cdc055d8d,38.8568,0.965884
W6c96e444,Cd385fff8,44.233,0.985492
W6c96e444,Cf8222b3f,29.3243,0.950979
W6c96e444,Cfd765e2b,38.5544,0.984691
W6c96e444,C5b995680,29.4123,0.952356
W6c96e444,C7528fd61,42.4961,0.981471
W6c96e444,C91525484,41.562,0.983551
W6c96e444,C85e6e0fb,50.2372,0.995178
W6c96e444,C0ad0943e,38.5442,0.98023
W6c96e444,C5a9e45eb,43.5531,0.989244
W6c96e444,C509ad79d,47.5009,0.993624
W6c96e444,Ca5fc48eb,37.5554,0.95777
W6c96e444,Cdeba9d0c,47.5218,0.991344
W6c96e444,Cd2c1e28d,44.3588,0.987963
W6c96e444,C1977f38e,37.2636,0.965414
W6c96e444,Cc2d9bc56,37.0789,0.932506
W6c96e444,C138a0f31,48.338,0.992008
W6c96e444,Cbcf5d6d4,43.3588,0.984593
W6c96e444,C7fb4d529,45.0636,0.991698
W6c96e444,C6cc5679b,42.1757,0.975533
W6c96e444,Cdd5f9ca4,45.1633,0.989826
W6c96e444,C68bb7709,50.2403,0.994653
W6c96e444,C2fcdbe40,42.4325,0.984909
W6c96e444,Cc4c7ccbf,41.1296,0.977349
W6c96e444,C01bd6f87,50.4385,0.99563
W6c96e444,C18735b57,48.7808,0.994728
W6c96e444,Cca2a8d48,36.4324,0.93944
W6c96e444,Cb3c8666a,37.751,0.945416
W6c96e444,C711f565b,48.0983,0.991932
W6c96e444,Cabc58684,42.2488,0.983822
W6c96e444,C667c28c5,52.7829,0.997118
W6c96e444,Cf99facb3,29.7158,0.908896
W6c96e444,C3ba05acd,42.9523,0.983538
W6c96e444,C1872c327,32.623,0.915842
W6c96e444,Ca7b1b56e,42.3018,0.980861
W6c96e444,Ca2bfdc8a,41.8801,0.974941
W6c96e444,C271bfd56,43.5138,0.98692
W6c96e444,Ce3fd8638,43.9495,0.98536
W6c96e444,Cf57efe46,36.0543,0.946171
W6c96e444,Ce0c41321,44.9069,0.988392
W6c96e444,C75061a51,37.7651,0.944918
W6c96e444,Cb6f82be1,37.3639,0.94998
W6c96e444,Cdec4d1a1,37.7481,0.938694
W6c96e444,Cc934b368,43.5672,0.985404
W6c96e444,C3d5c4b50,43.4462,0.981639
W6c96e444,Caa40d86c,48.8004,0.9944
W6c96e444,Cc99a70c9,44.3383,0.986232
W6c96e444,Cfabcbab3,42.1832,0.975742
W6c96e444,C6f65ff10,40.4759,0.973608
W6c96e444,C6513151a,36.8731,0.967086
W6c96e444,C31375911,45.6343,0.986752
W6c96e444,C15c5e401,47.0774,0.991589
W6c96e444,Cb75a590f,42.8815,0.983976
W6c96e444,C4fc92a5c,36.9656,0.969867
W6c96e444,C90ba14eb,37.0352,0.971766
W6c96e444,Cc5e6b816,37.7635,0.938844
W6c96e444,Ca9307c41,44.3241,0.982971
Wb956bd5d,Ce553473f,37.7474,0.978017
Wb956bd5d,Cf0f49185,43.2001,0.986097
Wb956bd5d,C49a6473c,47.1114,0.993504
Wb956bd5d,Cee831aa6,49.6754,0.995358
Wb956bd5d,Cdf4a5a5d,36.5333,0.947641
Wb956bd5d,Ca280bcb6,42.3604,0.98976
Wb956bd5d,C1fd24f48,48.0817,0.994348
Wb956bd5d,C4f0aea79,43.6697,0.985717
Wb956bd5d,Cc8f8d644,38.4651,0.97279
Wb956bd5d,C70558a59,38.0195,0.973623
Wb956bd5d,Cfda6e84d,35.9835,0.938735
Wb956bd5d,C7198607b,37.3174,0.966572
Wb956bd5d,C2bcfc17f,43.0157,0.983365
Wb956bd5d,C7cdee2bc,36.0321,0.960436
Wb956bd5d,Cc0fdc1b9,47.8367,0.995628
Wb956bd5d,C3406eaa1,52.7732,0.997877
Wb956bd5d,Cdfc7e698,41.9387,0.981217
Wb956bd5d,C974ffcf1,49.5108,0.995587
Wb956bd5d,C679b57a5,41.3166,0.980469
Wb956bd5d,Cc8da36c4,48.2211,0.995635
Wb956bd5d,C56bf6881,42.155,0.98433
Wb956bd5d,C53dc5dc8,37.9418,0.974627
Wb956bd5d,C4e2ef5c0,42.0223,0.984861
Wb956bd5d,C37c79dea,44.9354,0.990219
Wb956bd5d,Cc00d2af2,44.9382,0.990451
Wb956bd5d,C0fdc63eb,48.7675,0.99494
Wb956bd5d,Ced3802f1,29.9042,0.934263
Wb956bd5d,Cdbb31d18,42.2815,0.985503
Wb956bd5d,Cc2eb5bfc,38.773,0.967416
Wb956bd5d,C7604b0d4,44.691,0.990187
Wb956bd5d,C25b630c0,43.4994,0.987547
Wb956bd5d,C661fa174,44.3182,0.987179
Wb956bd5d,C37e34ab7,47.6866,0.995679
Wb956bd5d,Cd68b47cf,48.0382,0.993647
Wb956bd5d,C0d46c7ad,37.5456,0.983242
Wb956bd5d,Ceb8983e4,49.2384,0.994625
Wb956bd5d,Ca5c20a87,44.3075,0.989368
Wb956bd5d,C13e789d6,42.7649,0.984133
Wb956bd5d,Cdc2cfeda,45.9144,0.992815
Wb956bd5d,Cdb9f3155,36.1556,0.961202
Wb956bd5d,C595c5d3e,37.0999,0.947954
Wb956bd5d,C102df3b7,46.6633,0.996065
Wb956bd5d,Ceaa92c37,43.8299,0.982788
Wb956bd5d,C7b07b255,50.5726,0.99642
Wb956bd5d,C137047d9,34.8069,0.951487
Wb956bd5d,C1aa7c7de,45.6735,0.990362
Wb956bd5d,Cc1f37124,42.8435,0.985114
Wb956bd5d,C25fe2f61,33.5243,0.902443
Wb956bd5d,C87c03109,44.7596,0.984846
Wb956bd5d,Cd6333cac,50.4374,0.996235
Wb956bd5d,Cf251f501,48.6328,0.99411
Wb956bd5d,C9cd6b868,36.2293,0.932538
Wb956bd5d,C7f778621,36.1899,0.943488
Wb956bd5d,Cd516f3e0,39.2586,0.97068
Wb956bd5d,Cc49043e4,45.6759,0.991325
Wb956bd5d,C1fb28193,29.237,0.820864
Wb956bd5d,C32c9c9a4,42.1365,0.982123
Wb956bd5d,Cd9ee0c62,42.4011,0.988874
Wb956bd5d,C2a345d95,36.9072,0.978104
Wb956bd5d,C5ad3f7eb,40.8558,0.976132
Wb956bd5d,C870c1c54,49.86,0.995069
Wb956bd5d,Cfc31cd4d,42.3048,0.98504
Wb956bd5d,Ca4f32186,49.675,0.995182
Wb956bd5d,C49cffb03,49.0922,0.995016
Wb956bd5d,C3b728bc9,34.8674,0.927362
Wb956bd5d,C29a41b13,39.0507,0.980066
Wb956bd5d,Ce10fab5d,42.6095,0.989515
Wb956bd5d,Cb48b1751,33.7703,0.981412
Wb956bd5d,Cf369ccb1,38.9133,0.966417
Wb956bd5d,C274855c1,36.1313,0.937166
Wb956bd5d,C74aea052,36.7788,0.941718
Wb956bd5d,C83dd660f,49.3518,0.995745
Wb956bd5d,Cf33db040,43.697,0.988605
Wb956bd5d,Ca3650336,28.9202,0.87711
Wb956bd5d,C03b32006,37.5628,0.945642
Wb956bd5d,C1030200c,26.7335,0.933701
Wb956bd5d,C2ce9a6ce,43.6027,0.986764
Wb956bd5d,Ceb8bd024,37.6163,0.970379
Wb956bd5d,C55c556cd,48.7655,0.995258
Wb956bd5d,Cbc69e119,36.5218,0.939144
Wb956bd5d,C63026e00,42.6749,0.985794
Wb956bd5d,Ce17d1531,45.007,0.986777
Wb956bd5d,C6d9355cd,45.5024,0.991344
Wb956bd5d,C08ff9b54,39.5831,0.978209
Wb956bd5d,C3a98b060,33.5005,0.969605
Wb956bd5d,C0c205c86,36.389,0.949117
Wb956bd5d,C8c6d3ec7,47.9038,0.993016
Wb956bd5d,Ca5ad60ef,39.8896,0.975659
Wb956bd5d,Ce8237e7a,48.9763,0.995309
Wb956bd5d,C66d403b8,50.4027,0.9962
Wb956bd5d,C3a619d8f,41.7683,0.986937
Wb956bd5d,C0602d823,37.7658,0.948953
Wb956bd5d,Cbd3f09e9,45.0752,0.991945
Wb956bd5d,Ce237cbcd,43.4831,0.986127
Wb956bd5d,C99ea16d7,49.7378,0.996203
Wb956bd5d,Cb9c186b7,49.8507,0.996665
Wb956bd5d,C22e867d5,48.7275,0.995282
Wb956bd5d,Cee09d50f,43.5626,0.987802
Wb956bd5d,Ccb08ab84,42.916,0.98628
Wb956bd5d,Cb4402403,43.124,0.990179
W82ab0603,C1e88684d,48.4313,0.992544
W82ab0603,C13686b81,40.5097,0.973701
W82ab0603,Cf35ef4ec,40.0825,0.975157
W82ab0603,Cf565e123,26.3811,0.82825
W82ab0603,C9a99ff3d,42.5225,0.976482
W82ab0603,Cfb6eedf0,44.8521,0.986641
W82ab0603,Ca2a76b6e,45.4313,0.989515
W82ab0603,C26406b6d,46.7348,0.990025
W82ab0603,Cc8e95b64,45.4408,0.986827
W82ab0603,Cc524c632,46.42,0.989082
W82ab0603,C4605343f,42.0506,0.98367
W82ab0603,Cabc4498c,34.0508,0.9688
W82ab0603,C8011c43b,40.2264,0.977812
W82ab0603,Cf5b24f81,43.6641,0.984506
W82ab0603,Cd65ac29f,45.9897,0.990949
W82ab0603,Ce704b88d,33.9833,0.975042
W82ab0603,C2ec6d0d6,37.325,0.932741
W82ab0603,C3da03f1a,43.0658,0.985662
W82ab0603,C5613f286,39.5195,0.981936
W82ab0603,C253623ee,35.3716,0.953356
